Price,Close,High,Low,Open,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
4/15/2014,4345.350098,4404.040039,4344.029785,4380.5,122058300
4/16/2014,4405.660156,4405.660156,4375.049805,4388.850098,122699300
4/17/2014,4431.810059,4432.640137,4392.060059,4412.410156,120776700
4/22/2014,4484.209961,4488.049805,4443.899902,4451.910156,104076000
4/23/2014,4451.080078,4480.620117,4449.009766,4479.709961,116615800
4/24/2014,4479.540039,4499.319824,4440.629883,4474.319824,143874900
4/25/2014,4443.629883,4473.47998,4431.379883,4459.169922,95383500
4/28/2014,4460.529785,4477.620117,4444.459961,4455.049805,90359100
4/29/2014,4497.680176,4504.140137,4449.939941,4463.600098,119189200
4/30/2014,4487.390137,4491.290039,4470.75,4473.939941,137774800
5/2/2014,4458.169922,4485.100098,4447.439941,4473.830078,117261200
5/5/2014,4462.689941,4467.370117,4400.910156,4453.52002,83750800
5/6/2014,4428.069824,4477.859863,4420.709961,4474.910156,125181200
5/7/2014,4446.439941,4453.220215,4402.779785,4414.339844,134882300
5/8/2014,4507.240234,4507.240234,4440.859863,4455.279785,127264600
5/9/2014,4477.279785,4496.669922,4465.77002,4491.180176,155409900
5/12/2014,4493.649902,4495.720215,4463.049805,4467.379883,124775600
5/13/2014,4505.02002,4511.350098,4492.459961,4504.509766,126209200
5/14/2014,4501.040039,4506.560059,4489.410156,4505.540039,97814900
5/15/2014,4444.930176,4512.620117,4438.490234,4497.129883,144233600
5/16/2014,4456.279785,4456.310059,4418.589844,4446.680176,139689200
5/19/2014,4469.759766,4476.410156,4418.049805,4447.680176,115554200
5/20/2014,4452.350098,4473.100098,4445.72998,4459.089844,89702000
5/21/2014,4469.029785,4473.279785,4424.689941,4436.109863,110746200
5/22/2014,4478.209961,4481.97998,4451.779785,4473.560059,97409600
5/23/2014,4493.149902,4495.759766,4468.890137,4479.589844,84298600
5/26/2014,4526.930176,4526.930176,4496.430176,4504.259766,53064100
5/27/2014,4529.75,4536.47998,4511.459961,4516.109863,94160200
5/28/2014,4531.629883,4536.830078,4517.879883,4527.120117,84469400
5/29/2014,4530.509766,4533.5,4515.459961,4523.410156,67042000
5/30/2014,4519.569824,4524.919922,4495.790039,4512.569824,133957200
6/2/2014,4515.890137,4529.350098,4502.120117,4523.899902,121760600
6/3/2014,4503.689941,4516.02002,4499,4512.879883,97730200
6/4/2014,4501,4508.259766,4470.470215,4494.129883,100369000
6/5/2014,4548.72998,4577.700195,4487.47998,4504.029785,148434000
6/6/2014,4581.120117,4586.680176,4539.529785,4553.310059,127889500
6/9/2014,4589.120117,4590.660156,4570.410156,4580.939941,66662900
6/10/2014,4595,4598.649902,4579.060059,4589.899902,85719200
6/11/2014,4555.109863,4583.640137,4552.629883,4580.72998,123035200
6/12/2014,4554.399902,4573.97998,4545.220215,4552,97945400
6/13/2014,4543.279785,4555.859863,4506.930176,4550.189941,99692700
6/16/2014,4510.049805,4540.680176,4509.52002,4523.52002,95236800
6/17/2014,4536.069824,4538.240234,4508.459961,4524.25,95996300
6/18/2014,4530.370117,4550.930176,4529.529785,4540.100098,99269700
6/19/2014,4563.040039,4581.950195,4558.069824,4565.109863,130906800
